,TPR,group_value,group_variable,k,model_id,parameter,TNR,FOmR,FDR,FPR,FNR,NPV,Precision,PP,PN,PPR,PPrev,FP,FN,TN,TP,group_label_neg,group_label_pos,group_size,total_entities,Prev,PPR_disparity,PPrev_disparity,FDR_disparity,FOmR_disparity,FPR_disparity,FNR_disparity,PPR_ref_group_value,PPrev_ref_group_value,FDR_ref_group_value,FOmR_ref_group_value,FPR_ref_group_value,FNR_ref_group_value
15,0.0,Some-college,education,10,1,10_abs,0.998876404494382,0.19365079365079366,1.0,0.0011235955056179776,1.0,0.8063492063492064,0.0,2,2205,0.2,0.0009062075215224287,2,427,1778,0,1780,427,2207,9769,0.19347530584503853,2.0,2.9125509741730857,1.0,1.2468937875751502,3.0505617977528092,1.0,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
16,0.05555555555555555,10th,education,50,1,50_abs,0.9854014598540146,0.059233449477351915,0.8,0.014598540145985401,0.9444444444444444,0.9407665505226481,0.2,5,287,0.1,0.017123287671232876,4,17,270,1,274,18,292,9769,0.06164383561643835,0.33333333333333337,3.6689497716894977,1.0,0.38203186467348543,3.3029197080291968,0.9501568100358423,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
17,0.0,11th,education,50,1,50_abs,0.9969325153374233,0.04411764705882353,1.0,0.003067484662576687,1.0,0.9558823529411765,0.0,1,340,0.02,0.002932551319648094,1,15,325,0,326,15,341,9769,0.04398826979472141,0.06666666666666667,0.6283479960899316,1.25,0.2845410341555977,0.6940184049079754,1.0060483870967742,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
18,0.0,12th,education,50,1,50_abs,0.9814814814814815,0.07017543859649122,1.0,0.018518518518518517,1.0,0.9298245614035088,0.0,2,114,0.04,0.017241379310344827,2,8,106,0,108,8,116,9769,0.06896551724137931,0.13333333333333333,3.6942528735632187,1.25,0.4526032823995472,4.189814814814814,1.0060483870967742,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
19,0.0,1st-4th,education,50,1,50_abs,1.0,0.044444444444444446,0.0,0.0,1.0,0.9555555555555556,0.0,0,45,0.0,0.0,0,2,43,0,43,2,45,9769,0.044444444444444446,0.0,0.0,0.0,0.28664874551971326,0.0,1.0060483870967742,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
20,0.0,5th-6th,education,50,1,50_abs,1.0,0.05063291139240506,0.0,0.0,1.0,0.9493670886075949,0.0,0,79,0.0,0.0,0,4,75,0,75,4,79,9769,0.05063291139240506,0.0,0.0,0.0,0.32656186198448345,0.0,1.0060483870967742,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
21,0.0,7th-8th,education,50,1,50_abs,1.0,0.03825136612021858,0.0,0.0,1.0,0.9617486338797814,0.0,0,183,0.0,0.0,0,7,176,0,176,7,183,9769,0.03825136612021858,0.0,0.0,0.0,0.24670588753745815,0.0,1.0060483870967742,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
22,0.0,9th,education,50,1,50_abs,0.986013986013986,0.053691275167785234,1.0,0.013986013986013986,1.0,0.9463087248322147,0.0,2,149,0.04,0.013245033112582781,2,8,141,0,143,8,151,9769,0.052980132450331126,0.13333333333333333,2.8379690949227374,1.25,0.3462870751244858,3.164335664335664,1.0060483870967742,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
23,0.0,Assoc-acdm,education,50,1,50_abs,0.9953703703703703,0.28807947019867547,1.0,0.004629629629629629,1.0,0.7119205298013245,0.0,1,302,0.02,0.0033003300330033004,1,87,215,0,216,87,303,9769,0.2871287128712871,0.06666666666666667,0.7071507150715072,1.25,1.8579964217047638,1.0474537037037035,1.0060483870967742,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
24,0.008333333333333333,Assoc-voc,education,50,1,50_abs,0.993006993006993,0.29528535980148884,0.6666666666666666,0.006993006993006993,0.9916666666666667,0.7047146401985112,0.3333333333333333,3,403,0.06,0.007389162561576354,2,119,284,1,286,120,406,9769,0.2955665024630542,0.2,1.5832512315270937,0.8333333333333333,1.9044715040422637,1.582167832167832,0.9976646505376344,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad,HS-grad
