,TPR,group_value,group_variable,k,model_id,parameter,TNR,FOmR,FDR,FPR,FNR,NPV,Precision,PP,PN,PPR,PPrev,FP,FN,TN,TP,group_label_neg,group_label_pos,group_size,total_entities,Prev,PPR_disparity,PPR_ref_group_value,PPrev_disparity,PPrev_ref_group_value,FDR_disparity,FDR_ref_group_value,FOmR_disparity,FOmR_ref_group_value,FPR_disparity,FPR_ref_group_value,FNR_disparity,FNR_ref_group_value
19,0.0,1st-4th,education,50,1,50_abs,1.0,0.044444444444444446,0.0,0.0,1.0,0.9555555555555556,0.0,0,45,0.0,0.0,0,2,43,0,43,2,45,9769,0.044444444444444446,1.0,1st-4th,1.0,1st-4th,1.0,1st-4th,10.0,Preschool,1.0,1st-4th,10.0,Preschool
20,0.0,5th-6th,education,50,1,50_abs,1.0,0.05063291139240506,0.0,0.0,1.0,0.9493670886075949,0.0,0,79,0.0,0.0,0,4,75,0,75,4,79,9769,0.05063291139240506,1.0,1st-4th,1.0,1st-4th,1.0,1st-4th,10.0,Preschool,1.0,1st-4th,10.0,Preschool
21,0.0,7th-8th,education,50,1,50_abs,0.9886363636363636,0.03867403314917127,1.0,0.011363636363636364,1.0,0.9613259668508287,0.0,2,181,0.04,0.01092896174863388,2,7,174,0,176,7,183,9769,0.03825136612021858,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
22,0.0,9th,education,50,1,50_abs,1.0,0.052980132450331126,0.0,0.0,1.0,0.9470198675496688,0.0,0,151,0.0,0.0,0,8,143,0,143,8,151,9769,0.052980132450331126,1.0,1st-4th,1.0,1st-4th,1.0,1st-4th,10.0,Preschool,1.0,1st-4th,10.0,Preschool
23,0.0,Assoc-acdm,education,50,1,50_abs,1.0,0.2871287128712871,0.0,0.0,1.0,0.7128712871287128,0.0,0,303,0.0,0.0,0,87,216,0,216,87,303,9769,0.2871287128712871,1.0,1st-4th,1.0,1st-4th,1.0,1st-4th,10.0,Preschool,1.0,1st-4th,10.0,Preschool
24,0.0,Assoc-voc,education,50,1,50_abs,0.9965034965034965,0.2962962962962963,1.0,0.0034965034965034965,1.0,0.7037037037037037,0.0,1,405,0.02,0.0024630541871921183,1,120,285,0,286,120,406,9769,0.2955665024630542,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
25,0.0,Bachelors,education,50,1,50_abs,1.0,0.4074754901960784,0.0,0.0,1.0,0.5925245098039216,0.0,0,1632,0.0,0.0,0,665,967,0,967,665,1632,9769,0.4074754901960784,1.0,1st-4th,1.0,1st-4th,1.0,1st-4th,10.0,Preschool,1.0,1st-4th,10.0,Preschool
26,0.0,Doctorate,education,50,1,50_abs,1.0,0.728,0.0,0.0,1.0,0.272,0.0,0,125,0.0,0.0,0,91,34,0,34,91,125,9769,0.728,1.0,1st-4th,1.0,1st-4th,1.0,1st-4th,10.0,Preschool,1.0,1st-4th,10.0,Preschool
27,0.0,HS-grad,education,50,1,50_abs,0.9893186003683241,0.1566718995290424,1.0,0.010681399631675874,1.0,0.8433281004709576,0.0,29,3185,0.58,0.009023024268823895,29,499,2686,0,2715,499,3214,9769,0.1552582451773491,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
28,0.0,Masters,education,50,1,50_abs,1.0,0.5758835758835759,0.0,0.0,1.0,0.42411642411642414,0.0,0,481,0.0,0.0,0,277,204,0,204,277,481,9769,0.5758835758835759,1.0,1st-4th,1.0,1st-4th,1.0,1st-4th,10.0,Preschool,1.0,1st-4th,10.0,Preschool
29,0.0,Preschool,education,50,1,50_abs,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,16,0.0,0.0,0,0,16,0,16,0,16,9769,0.0,1.0,1st-4th,1.0,1st-4th,1.0,1st-4th,1.0,Preschool,1.0,1st-4th,1.0,Preschool
30,0.0,Prof-school,education,50,1,50_abs,1.0,0.6966292134831461,0.0,0.0,1.0,0.30337078651685395,0.0,0,178,0.0,0.0,0,124,54,0,54,124,178,9769,0.6966292134831461,1.0,1st-4th,1.0,1st-4th,1.0,1st-4th,10.0,Preschool,1.0,1st-4th,10.0,Preschool
31,0.0,Some-college,education,50,1,50_abs,0.994943820224719,0.1942675159235669,1.0,0.0050561797752808986,1.0,0.8057324840764332,0.0,9,2198,0.18,0.0040779338468509285,9,427,1771,0,1780,427,2207,9769,0.19347530584503853,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
32,0.0,10th,education,100,1,100_abs,0.9854014598540146,0.0625,1.0,0.014598540145985401,1.0,0.9375,0.0,4,288,0.04,0.0136986301369863,4,18,270,0,274,18,292,9769,0.06164383561643835,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
33,0.0,11th,education,100,1,100_abs,0.9693251533742331,0.045317220543806644,1.0,0.03067484662576687,1.0,0.9546827794561934,0.0,10,331,0.1,0.02932551319648094,10,15,316,0,326,15,341,9769,0.04398826979472141,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
34,0.0,12th,education,100,1,100_abs,0.9537037037037037,0.07207207207207207,1.0,0.046296296296296294,1.0,0.9279279279279279,0.0,5,111,0.05,0.04310344827586207,5,8,103,0,108,8,116,9769,0.06896551724137931,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
35,0.0,1st-4th,education,100,1,100_abs,1.0,0.044444444444444446,0.0,0.0,1.0,0.9555555555555556,0.0,0,45,0.0,0.0,0,2,43,0,43,2,45,9769,0.044444444444444446,1.0,1st-4th,1.0,1st-4th,1.0,1st-4th,10.0,Preschool,1.0,1st-4th,10.0,Preschool
36,0.0,5th-6th,education,100,1,100_abs,0.9866666666666667,0.05128205128205128,1.0,0.013333333333333334,1.0,0.9487179487179487,0.0,1,78,0.01,0.012658227848101266,1,4,74,0,75,4,79,9769,0.05063291139240506,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
37,0.0,7th-8th,education,100,1,100_abs,0.9886363636363636,0.03867403314917127,1.0,0.011363636363636364,1.0,0.9613259668508287,0.0,2,181,0.02,0.01092896174863388,2,7,174,0,176,7,183,9769,0.03825136612021858,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
38,0.0,9th,education,100,1,100_abs,0.993006993006993,0.05333333333333334,1.0,0.006993006993006993,1.0,0.9466666666666667,0.0,1,150,0.01,0.006622516556291391,1,8,142,0,143,8,151,9769,0.052980132450331126,10.0,1st-4th,10.0,1st-4th,10.0,1st-4th,10.0,Preschool,10.0,1st-4th,10.0,Preschool
